session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,2020 US presidential election,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status,U.S. Political Affiliation
6054e68ad10d6a61a5a8f5c6,5825dc1f7fcbaa000134776e,APPROVED,2021-03-19 17:59:45.312000,2021-03-19 18:02:42.910000,177.598,61,2318,6,100,2021-03-21 03:35:57.421000,726F3960,Donald Trump,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Male,No,Republican
6054e6c8ce0fdc3a659c54cf,5c05ff644c14cf00019db0a9,APPROVED,2021-03-19 18:00:44.410000,2021-03-19 18:02:46.667000,122.257,30,1086,15,94,2021-03-21 03:36:04.910000,726F3960,Donald Trump,United States,United States,Full-Time,English,United States,Female,No,Independent
6054e6cfdfb3e95ba7473cfd,5c5e686420cbdb0001668ad7,APPROVED,2021-03-19 18:00:55.520000,2021-03-19 18:02:49.282000,113.762,68,786,9,97,2021-03-21 03:36:09.115000,726F3960,Donald Trump,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No,Republican
6054e6f3078bba3b02256788,605147503e8d205847ceb9d0,APPROVED,2021-03-19 18:01:32.020000,2021-03-19 18:03:29.070000,117.05,51,19,1,99,2021-03-21 03:36:12.075000,726F3960,Donald Trump,United States,United States,Full-Time,,United States,Female,No,Republican
6054e7785d06d465ffde8780,60439feb7b405d3858514ad6,APPROVED,2021-03-19 18:03:41.626000,2021-03-19 18:05:37.175000,115.549,38,45,0,100,2021-03-21 03:36:13.249000,726F3960,Donald Trump,United States,United States,Full-Time,,United States,Female,Yes,Republican
6054e7afd99b85058a5334cb,5fa196fbbc611b2cdf74ee7e,APPROVED,2021-03-19 18:04:37.569000,2021-03-19 18:08:15.157000,217.588,31,406,1,100,2021-03-21 03:36:14.257000,726F3960,Donald Trump,United States,United States,Due to start a new job within the next month,DATA EXPIRED,United States,Male,No,Republican
6054e7b9adc317806d7becaa,5d90c4fadf90b6001549561e,APPROVED,2021-03-19 18:04:43.404000,2021-03-19 18:05:54.912000,71.508,51,835,0,100,2021-03-21 03:36:16.203000,726F3960,Donald Trump,United States,United States,Full-Time,English,United States,Female,No,Republican
6054e7dbe2aaaf2bd3891910,5ff37a5efef4d1949c2472be,APPROVED,2021-03-19 18:05:22.334000,2021-03-19 18:07:06.490000,104.156,57,117,0,100,2021-03-21 03:36:19.428000,726F3960,Donald Trump,United States,United States,Full-Time,,United States,Male,No,Republican
6054e8b2b1ffb793d2117419,5bd4c1d09afb5b00015c5bdd,APPROVED,2021-03-19 18:08:50.143000,2021-03-19 18:11:33.595000,163.452,,1412,1,100,2021-03-21 03:36:20.558000,726F3960,Donald Trump,United States,United States,Part-Time,English,United States,Male,No,Independent
6054e8d3266de8fc63285da7,5ee4cdd7ebbfd21dd696d429,APPROVED,2021-03-19 18:09:26.211000,2021-03-19 18:10:52.223000,86.012,32,514,2,99,2021-03-21 03:36:25.337000,726F3960,Donald Trump,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No,Republican
6054e8d9b7173d308caca1f7,5d5425e26375ef001b10b4e8,APPROVED,2021-03-19 18:09:32.542000,2021-03-19 18:10:50.623000,78.081,49,1184,6,99,2021-03-21 03:36:27.803000,726F3960,Donald Trump,United States,United States,Full-Time,English,United States,Female,No,Republican
6054e8e1dfbeb8363a641d66,5ffa73c9a1f5f244f61898fe,APPROVED,2021-03-19 18:09:43.366000,2021-03-19 18:12:09.828000,146.462,52,181,0,100,2021-03-21 03:36:31.992000,726F3960,Donald Trump,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",DATA EXPIRED,United States,Female,No,Independent
6054e91a65722a88bc8d397e,5d14de64730726001a7f58c7,APPROVED,2021-03-19 18:10:37.201000,2021-03-19 18:11:58.987000,81.786,49,572,1,100,2021-03-21 03:36:33.383000,726F3960,Donald Trump,United States,United States,Full-Time,English,United States,Female,No,Republican
6054e920cbb815a530b8ecb6,5c51bcaeb7449200013a8517,APPROVED,2021-03-19 18:10:43.766000,2021-03-19 18:13:45.232000,181.466,34,1104,1,100,2021-03-21 03:36:35.923000,726F3960,Donald Trump,United States,United States,Full-Time,English,United States,Male,No,Independent
6054e92a377bd63c1d985f1c,5e2b1d01892dbb038c3f474b,APPROVED,2021-03-19 18:10:56.760000,2021-03-19 18:12:01.334000,64.574,40,709,11,96,2021-03-21 03:36:39.844000,726F3960,Donald Trump,United States,United States,Full-Time,English,United States,Female,No,Democrat
6054e9421c53658f8fbe2f6b,5f98e2cd2da42120a74ff562,APPROVED,2021-03-19 18:11:30.115000,2021-03-19 18:13:15.214000,105.099,23,300,7,96,2021-03-21 03:36:42.772000,726F3960,Donald Trump,United States,United States,Part-Time,DATA EXPIRED,United States,Female,Yes,Republican
6054e959bc338e75d14fecf0,5e4dd61e228f8723566e06d4,APPROVED,2021-03-19 18:11:37.472000,2021-03-19 18:13:31.996000,114.524,24,920,0,100,2021-03-21 03:36:44.416000,726F3960,Donald Trump,United States,United States,Full-Time,English,United States,Male,No,Republican
6054e961ca681764b302df4c,5f8486766d8e7b0f17df0206,APPROVED,2021-03-19 18:11:48.651000,2021-03-19 18:13:18.925000,90.274,37,300,2,99,2021-03-21 03:36:48.067000,726F3960,Donald Trump,United States,United States,Other,DATA EXPIRED,United States,Male,No,
6054e9f7cd0e1d95db7b1506,58a623e90da7f10001de8553,APPROVED,2021-03-19 18:14:23.865000,2021-03-19 18:16:09.732000,105.867,55,1814,1,100,2021-03-21 03:36:49.936000,726F3960,Donald Trump,United States,United States,Other,English,United States,Female,No,Republican
6054ea29f29b68559fa291ed,5e41a040ea48190420f09d26,APPROVED,2021-03-19 18:15:48.694000,2021-03-19 18:17:43.251000,114.557,35,460,0,100,2021-03-21 03:36:56.029000,726F3960,Donald Trump,United States,United States,Full-Time,English,United States,Female,No,Independent
6054ea2d1d43696a88c46076,5c675fad8f100a000107e249,APPROVED,2021-03-19 18:15:13.292000,2021-03-19 18:16:23.604000,70.312,20,1395,23,95,2021-03-21 03:36:58.181000,726F3960,Donald Trump,United States,United States,Part-Time,English,United States,Male,Yes,Independent
